id,title,artist,artist_ids,album,popularity,duration_ms,genres,bpm,energy,valence,danceability,loudness,bpm_estimated,language,spotify_url
2wLvZfQAjmvbpQLfeyRivw,4 Minutes (Cardio Workout Remix),Helena,2VXQid97MSwSzyhCzb1nUl,"Cardio Hitmix! All Hits 3 (140-155 BPM, 32-Count, Nonstop Fitness & Workout)",50,270866,,173,0.88,0.68,0.37,-11.3,True,english,https://open.spotify.com/track/2wLvZfQAjmvbpQLfeyRivw
7jsqjkzw8tvH7xbnTQIqES,410,"Sidhu Moose Wala, Sunny Malton, Offgrid",4PULA4EFzYTrxYvOVlwpiQ|2ScEhgArBEdKyU4vNHSyiY|7F8zSmymsU25wRm0x7R05Y,410,50,234893,,101,0.88,0.53,0.64,-13.5,True,hindi,https://open.spotify.com/track/7jsqjkzw8tvH7xbnTQIqES
04Gyftm06xrJ48BvqhxhIy,4PF,"BIG KAY SMG, Baggh-e SMG, Farmaan SMG",0z4Mzficie9vUzDmz4Hy9G|4eu7AyzvnafwOygTQlfAMu|3yXzSYXBOTZ0m1QAfjlzKK,Let's Create The Time,50,183300,,116,0.52,0.28,0.79,-8.2,True,hindi,https://open.spotify.com/track/04Gyftm06xrJ48BvqhxhIy
6PRFDCNAMLeSZimkPGrKMG,5-7,"Karan Aujla, Mxrci",6DARBhWbfcS9E4yJzcliqQ|5Us2dsq4VHlfLbKOrskg7K,5-7,50,154105,,152,0.88,0.84,0.72,-6.2,True,hindi,https://open.spotify.com/track/6PRFDCNAMLeSZimkPGrKMG
7981a0fWmY1Uj6cT1jhp52,52 Bars,"Karan Aujla, Ikky",6DARBhWbfcS9E4yJzcliqQ|3nqS8jzqmsPKFJTp0BOIel,Four You,50,214024,,137,0.7,0.2,0.76,-7.0,True,hindi,https://open.spotify.com/track/7981a0fWmY1Uj6cT1jhp52
4YqK7AQ6gILL11MHlVTEh4,532,"Garry Sandhu, AAZZAD, Josh Sidhu",7M3xY5iHSzEtoL3FpqOD75|5nKtqAfzif2POIB7V94U4L|6ce1Ysig2iILmcVc0lmTKW,dnd,50,163500,,172,0.47,0.55,0.78,-7.6,True,hindi,https://open.spotify.com/track/4YqK7AQ6gILL11MHlVTEh4
6wkHR8cU4INbp145hngbQO,8 ASLE,"Sukha, Chani Nattan, Prodgk, Gurlez Akhtar",6FDDxz6lYakINkmWPOlIZG|1sSYaQBOI71QZDZ9OWW3hp|2E6ODN4Dna1vkh6s8sxHC0|55kkrbuMkdzPGD7YGA6xrJ,UNDISPUTED,50,161000,,177,0.62,0.87,0.84,-9.8,True,hindi,https://open.spotify.com/track/6wkHR8cU4INbp145hngbQO
6yv57lMY0GuB0JZEJKkqYo,8 Cylinder,Sidhu Moose Wala,4PULA4EFzYTrxYvOVlwpiQ,8 Cylinder,50,180951,,91,0.84,0.72,0.85,-5.5,True,hindi,https://open.spotify.com/track/6yv57lMY0GuB0JZEJKkqYo
1uAt3foJXoB2EVKfAOGeaj,80's Workout Song - 2020 House Music Remix,"Workout Music Gym, Workout Dance Music",6L0h1JhRtSMcBFcbdfk4m5|7H8HorLUuOJzx3wqU3J5hV,Gym Workout Music,50,95245,,123,0.44,0.25,0.59,-9.1,True,english,https://open.spotify.com/track/1uAt3foJXoB2EVKfAOGeaj
3F5QeyPDVYNndQI2FqrOBO,A Healing Run,Workout Prodigy,4YSYgOI8ezmxsy2oZfJaB6,"Exercising Music – The Best Music for Exercising, New Gym Motivation Playlist",50,140136,,178,0.82,0.54,0.54,-12.9,True,english,https://open.spotify.com/track/3F5QeyPDVYNndQI2FqrOBO
2zdeZbMEbux7W9950jhEc8,A Little Less Conversation - Running Workout Mix,Workout Music,5njMahLKD1tLJ5bejvqseV,50 Throwback Running Workout Hits!,50,275293,,120,0.49,0.29,0.51,-5.7,True,english,https://open.spotify.com/track/2zdeZbMEbux7W9950jhEc8
0U8S7CUrFpgZFx4Kj3rAp5,A Sky Full of Stars (Step Workout Remix),DJ Keen,4qvArXhnLauGZ5BBmJ3MJS,"Step Hitmix! All Hits (132 BPM, 32-Count, Nonstop Fitness & Workout)",50,203653,,126,0.87,0.38,0.89,-9.2,True,english,https://open.spotify.com/track/0U8S7CUrFpgZFx4Kj3rAp5
1pPFDeRqRWw8W1MhAlLD3Z,A Sky Full of Stars - Remix,Workout Music,5njMahLKD1tLJ5bejvqseV,100 Gym & Fitness Workout Hits! Playlist,50,266080,,138,0.79,0.27,0.89,-13.6,True,english,https://open.spotify.com/track/1pPFDeRqRWw8W1MhAlLD3Z
7iKDixVIWwKki7vwIXrqTJ,A Un Paso De La Luna - Workout Remix 140 Bpm,Hard EDM Workout,6A1PIjKax3t1iZQ4VKOegQ,Aerobic Latino Hits 2022: 60 Minutes Mixed For Fitness & Workout 140 Bpm / 32 Count,50,164570,,144,0.69,0.72,0.33,-7.6,True,english,https://open.spotify.com/track/7iKDixVIWwKki7vwIXrqTJ
39VAvCyLhJBTgBtasPunyn,AARAMBH BOL (Gym life Motivational song),kaayo lk,7ccWUSS2KCZOGMFkV7Qrll,AARAMBH BOL (Gym life Motivational song),50,183137,,170,0.68,0.2,0.61,-13.0,True,hindi,https://open.spotify.com/track/39VAvCyLhJBTgBtasPunyn
2exH5Jiafijol1Y5toP5xL,ARMED,"Sukha, Prodgk",6FDDxz6lYakINkmWPOlIZG|2E6ODN4Dna1vkh6s8sxHC0,UNDISPUTED,50,124090,,140,0.9,0.22,0.56,-14.3,True,hindi,https://open.spotify.com/track/2exH5Jiafijol1Y5toP5xL
23q9PTHIjr5nIM62Obi90K,ASÍ YO - SLOWED,Rythmoooo,7CLRNsR8n5Rf4grdDPBANf,ASÍ YO,50,85337,,100,0.68,0.44,0.58,-9.5,True,english,https://open.spotify.com/track/23q9PTHIjr5nIM62Obi90K
1gSL5jXv128gY0Oz1GEReA,Aag Laga De - Hindi Workout,Minns,109bXkunJD3qI4zj90x99F,Hindi Workout Mix 2026,50,185000,,147,0.58,0.52,0.67,-5.3,True,hindi,https://open.spotify.com/track/1gSL5jXv128gY0Oz1GEReA
70NRkDuScUlwEJw2qebE7T,Aag Se Tez - Hindi Workout,Minns,109bXkunJD3qI4zj90x99F,Hindi Workout Mix 2026,50,220000,,95,0.78,0.88,0.39,-8.1,True,hindi,https://open.spotify.com/track/70NRkDuScUlwEJw2qebE7T
6A0ffyw8EcakxNY0ghsiNw,Aaja Bhangra Pa Laiye,"Jaidev Kumar, Diljit Dosanjh, Navraj Hans, Simran Tripat",3jFf4UnboFrqsHZA8qBkH8|2FKWNmZWDBZR4dE5KX4plR|4ItzUQL1OI4JNDGNdKHR1K|6UIE1saT51FWFVCzprkEim,Saadi Love Story (Original Motion Picture Soundtrack),50,203053,,132,0.65,0.55,0.36,-5.2,True,hindi,https://open.spotify.com/track/6A0ffyw8EcakxNY0ghsiNw
1vMxXImRI5yzXxeoHSCX13,Aaluma Doluma,"Anirudh Ravichander, Badshah",4zCH9qm4R2DADamUHMCa6O|0y59o4v8uw5crbN9M3JiL1,Aavesam (Original Motion Picture Soundtrack),50,258119,,103,0.62,0.25,0.64,-13.1,True,english,https://open.spotify.com/track/1vMxXImRI5yzXxeoHSCX13
32VAw8DL9ixX5XSW2VLcZ4,Aam Jahe Munde,"Parmish Verma, PARDHAAN, Desi Crew",3OQRPFFS3OsltFjFAXu1kE|06sVoZgq2NIPNoWgggu8Vq|6lMIhndzcevFkVWSJnXPt2,Aam Jahe Munde,50,207838,,175,0.86,0.38,0.68,-7.3,True,hindi,https://open.spotify.com/track/32VAw8DL9ixX5XSW2VLcZ4
6U0SPRGtBgp7mDilQBpMWC,Aaramabh Hai Prachand X Polozehnie,Shrylox,1IEqJhjUAA0qZ6L020TQdt,Aaramabh Hai Prachand X Polozehnie,50,201562,,171,0.52,0.64,0.34,-13.5,True,hindi,https://open.spotify.com/track/6U0SPRGtBgp7mDilQBpMWC
1PZZtXR7nsNIyRcqd7UeiF,Aarambh,Piyush Mishra,1EzHkoB4160h1B1xAyXSUR,Gulaal,50,295866,,139,0.8,0.85,0.66,-10.1,True,hindi,https://open.spotify.com/track/1PZZtXR7nsNIyRcqd7UeiF
7fJenUJpY9Mv0u2oYbWuy9,"Aarambhame Le - From ""Jersey""","Srinidhi Venkatesh, Krishna Kanth, Anirudh Ravichander",1PDFenKwhb7oNx0bxCyQF2|2yvOLf1gt6m9qPgzzqpxQx|4zCH9qm4R2DADamUHMCa6O,"Aarambhame Le (From ""Jersey"")",50,114545,,171,0.68,0.26,0.36,-11.3,True,english,https://open.spotify.com/track/7fJenUJpY9Mv0u2oYbWuy9
4kV0ugCwyF7OAb3huIdThG,"Aaya Sher (From ""The Paradise"") (Telugu)","Anirudh Ravichander, Jangi Reddy, Arjun Chandy, Kasarla Shyam",4zCH9qm4R2DADamUHMCa6O|576GMrbKBURxmaLAJXMqCp|4UCG3GFuPR4k19M40Mzxip|4wxBWsFkyA2K1BMBFj91qt,"Aaya Sher (From ""The Paradise"") (Telugu)",50,286917,,132,0.7,0.28,0.78,-10.7,True,english,https://open.spotify.com/track/4kV0ugCwyF7OAb3huIdThG
5a21RYhxxpRWbHHELRt1Uf,Ab Meri Baari - Hindi Workout,Minns,109bXkunJD3qI4zj90x99F,Hindi Workout Mix 2026,50,225000,,120,0.65,0.35,0.64,-12.8,True,hindi,https://open.spotify.com/track/5a21RYhxxpRWbHHELRt1Uf
4uEt2w5aGSsONcbFNqZ8KL,Ab Meri Bari Hai,SD Music,0aRWV1OUj9vVA7OKoAZipv,Ab Meri Bari Hai,50,130800,,152,0.85,0.55,0.37,-11.2,True,hindi,https://open.spotify.com/track/4uEt2w5aGSsONcbFNqZ8KL
1BPdEBKkL9D3cZLGIbf1kg,Abdominal Exercises,Workout Prodigy,4YSYgOI8ezmxsy2oZfJaB6,"Exercising Music – The Best Music for Exercising, New Gym Motivation Playlist",50,176000,,131,0.86,0.2,0.65,-7.8,True,english,https://open.spotify.com/track/1BPdEBKkL9D3cZLGIbf1kg
5Ld8UhPvX8v8AvAnrh6grs,Abracadabra - Workout Remix 135 bpm,SuperFitness,6L74J3BzylQkJF7rBXTpgT,Aerobic Hits Session 2025: 60 Minutes Mixed for Fitness & Workout 135 bpm/32 Count,50,228000,,144,0.48,0.56,0.55,-7.4,True,english,https://open.spotify.com/track/5Ld8UhPvX8v8AvAnrh6grs
1r1uUCfbugSEPvfCLtZnyH,Acapulco - Workout Mix Edit 150 bpm,Hard EDM Workout,6A1PIjKax3t1iZQ4VKOegQ,Running Workout 2022: 150 bpm,50,169600,,104,0.78,0.54,0.34,-8.1,True,english,https://open.spotify.com/track/1r1uUCfbugSEPvfCLtZnyH
2WZeBhTbaVg1k4KoT1VbNt,Active,"Sukha, Prodgk",6FDDxz6lYakINkmWPOlIZG|2E6ODN4Dna1vkh6s8sxHC0,Active,50,125346,,92,0.52,0.36,0.37,-7.1,True,hindi,https://open.spotify.com/track/2WZeBhTbaVg1k4KoT1VbNt
5P6Hpkjk8eFphSKHNMq026,Addicted To You - Workout Remix 140 Bpm,Hard EDM Workout,6A1PIjKax3t1iZQ4VKOegQ,Aerobic Latino Hits 2022: 60 Minutes Mixed For Fitness & Workout 140 Bpm / 32 Count,50,150850,,106,0.48,0.84,0.53,-5.4,True,english,https://open.spotify.com/track/5P6Hpkjk8eFphSKHNMq026
4okMCAIOI1irdlFVS13tFS,Adrenaline Jwaar Hindi Gym Banger 160BPM EDM Trap Workout Anthem HIIT & CrossFit Motivation,Manup,5LCv5TmLtTzV6slXMrcrUj,Ultimate Gym Anthems,50,252885,,153,0.66,0.82,0.73,-6.2,True,hindi,https://open.spotify.com/track/4okMCAIOI1irdlFVS13tFS
6JT46SWuZIwznP8tuQMqYq,Aerobic Cardio Dance 140-145 bpm - Continuous Dj Mix,Hard EDM Workout,6A1PIjKax3t1iZQ4VKOegQ,Aerobic Cardio Dance 2017: 16 Best Songs for Workout + 1 Session 140-145 bpm / 32 count,50,2809612,,139,0.58,0.54,0.55,-8.5,True,english,https://open.spotify.com/track/6JT46SWuZIwznP8tuQMqYq
2ecXGiX8DUPHlSrlvmbPS4,Aerobics Gym Music,Xtreme Cardio Workout,6LdYcUQhPIhkcQJZM7Tpok,Fast Aerobics Music (140 BPM): Fast Beat Music for Extreme Aerobics Workout,50,236000,,140,0.76,0.76,0.54,-7.4,True,english,https://open.spotify.com/track/2ecXGiX8DUPHlSrlvmbPS4
48WOI9T9GN9h8OROkqAA3b,Aerobics Music Beats,Xtreme Cardio Workout,6LdYcUQhPIhkcQJZM7Tpok,Fast Aerobics Music (140 BPM): Fast Beat Music for Extreme Aerobics Workout,50,146500,,123,0.63,0.44,0.43,-10.0,True,english,https://open.spotify.com/track/48WOI9T9GN9h8OROkqAA3b
7nRw5SZ7FiAxwMYjFBL0k9,AfterParty Prayers,Lil Dreaux,6IAVA12AhYbWd4AoiehNsD,Beast Mode,50,141359,,179,0.47,0.89,0.54,-6.0,True,english,https://open.spotify.com/track/7nRw5SZ7FiAxwMYjFBL0k9
3j4kDDlS8d11idOmNe6YcY,Afull,Emcidues,0KX7rxH6HA4upw4IqFygC6,Afull,50,162285,,160,0.7,0.23,0.84,-10.2,True,english,https://open.spotify.com/track/3j4kDDlS8d11idOmNe6YcY
1ajCtEADD5n0gi9fCUhMxQ,Agg,"Gulab Sidhu, Fateh Shergill, Diamond",0OytfiwNkc1KzXE4ImyjgW|5RrNdku9cK7VRbaOxGPsPb|2FsgnpXcftQH9HppbO1DeC,Punjab Flow,50,170000,,179,0.66,0.88,0.61,-11.3,True,hindi,https://open.spotify.com/track/1ajCtEADD5n0gi9fCUhMxQ
4v5PgRxHXAd12s6gVfJFfM,Ai Calica,Marian & Sean,56qCWL15fdXM8CPNK6XWQF,Ai Calica,50,127741,,159,0.7,0.5,0.7,-12.3,True,english,https://open.spotify.com/track/4v5PgRxHXAd12s6gVfJFfM
6vGUuFRkrHebNgfUWbHrPr,Ajj Main Bhangra Pauna,Brother Satnam Bhatti,3etwQHQ5pxAvIW4mWGN3AR,"Yeshu Tera Dil Mangda, Vol. 13",50,524549,,129,0.85,0.52,0.81,-12.0,True,hindi,https://open.spotify.com/track/6vGUuFRkrHebNgfUWbHrPr
2X3loZP2xh8RJQh4SfbnVZ,"Ak - The Tiger (From ""Good Bad Ugly"")","Darkkey, G. V. Prakash",04RZUhq6dIFyX9eJYij92Q|5VVN3xZw1i2qihfITZlvCZ,"Ak - The Tiger (From ""Good Bad Ugly"")",50,203053,,146,0.73,0.41,0.66,-9.6,True,english,https://open.spotify.com/track/2X3loZP2xh8RJQh4SfbnVZ
0b2YFn54mqy3Wk6V3rWYNv,Ak47,Diljit Dosanjh,2FKWNmZWDBZR4dE5KX4plR,Hero Naam Yaad Rakhi (Original Motion Picture Soundtrack),50,191477,,113,0.76,0.36,0.76,-5.1,True,hindi,https://open.spotify.com/track/0b2YFn54mqy3Wk6V3rWYNv
5hpAtI6qlmMtB2qQtIY2bn,Akh Laal Jatt Di,Diljit Dosanjh,2FKWNmZWDBZR4dE5KX4plR,G.O.A.T.,50,240000,,161,0.53,0.72,0.79,-10.8,True,hindi,https://open.spotify.com/track/5hpAtI6qlmMtB2qQtIY2bn
1xUktyXc2cMBYTJcPBVrrJ,Akhiyan,"Kahani, Shrii",1fu7plwfaglPCQU6y1RFfb|0kJnDYDVqQebEko4J5Gboo,Gym Nation 008,50,325161,,128,0.52,0.32,0.63,-13.7,True,hindi,https://open.spotify.com/track/1xUktyXc2cMBYTJcPBVrrJ
5gA0rOFzVa9jK5hFKbWXfd,Akhri Dum Tak - Hindi Workout,Minns,109bXkunJD3qI4zj90x99F,Hindi Workout Mix 2026,50,200000,,170,0.76,0.79,0.82,-13.8,True,hindi,https://open.spotify.com/track/5gA0rOFzVa9jK5hFKbWXfd
7oK9OXmhQGdHbEcOLEVP2D,All You Need - Workout Remix 130 bpm,"Geo Da Silva, Alpha Squad",5E4rOL0HwjD2TGLhrK6tZp|5kjIsZYR4R011MNGQkUvl5,Cardio Workout Mix 2022: 130 bpm/32 count,50,192000,,96,0.48,0.42,0.89,-5.4,True,english,https://open.spotify.com/track/7oK9OXmhQGdHbEcOLEVP2D
2W2ugbQgC0gyW3X6UYW307,Already Over - Endel Light Cardio 3 (Fort Minor Mix) [feat. Dom McLennon] [Workout Soundscape],"Mike Shinoda, Endel, Dom McLennon, Fort Minor",6xBZgSMsnKVmaAxzWEwMSD|3JNr31WfX56vgwBuIcdOt4|2gvHN6YzZW0bPpmyjeD6V9|7dWYWUbO68rXJOcyA7SpJk,Already Over / In My Head (Endel Workout Soundscape),50,211954,,150,0.68,0.25,0.73,-14.3,True,english,https://open.spotify.com/track/2W2ugbQgC0gyW3X6UYW307
3RLDmNmrb2xxfXNyZxZf7J,Am I Wrong (Step Workout Remix),DJ Keen,4qvArXhnLauGZ5BBmJ3MJS,"Step Hitmix! All Hits (132 BPM, 32-Count, Nonstop Fitness & Workout)",50,247306,,180,0.5,0.5,0.78,-7.1,True,english,https://open.spotify.com/track/3RLDmNmrb2xxfXNyZxZf7J
72iWtnl27JmptemVWwh6yA,"Ambaraala Veedhilo - From ""ARM""","Dhibu Ninan Thomas, Sinduri Vishal, Krishna Kanth",1QHr8p3h0ayWLaaYK0X6bi|6KjiNHnbm1CNrIN0z7wJtO|2yvOLf1gt6m9qPgzzqpxQx,"Ambaraala Veedhilo (From ""ARM"")",50,249000,,122,0.4,0.49,0.38,-9.7,True,english,https://open.spotify.com/track/72iWtnl27JmptemVWwh6yA
1nYMdOVEwvi0AduQofnbRE,Amiri,"Diljit Dosanjh, thiarajxtt",2FKWNmZWDBZR4dE5KX4plR|54BjV0qctcWp8xOip7uaJD,Ghost,50,117924,,171,0.5,0.87,0.55,-14.2,True,hindi,https://open.spotify.com/track/1nYMdOVEwvi0AduQofnbRE
4GVlRh9StHm4h1JDbhYztY,Angaar Bhangar Nay Ra (DJ Remix),Madhur Shinde,7g7Z7qrPzbPNnCxkVlI4di,Angaar Bhangar Nay Ra (DJ Remix),50,190051,,145,0.86,0.29,0.45,-6.5,True,hindi,https://open.spotify.com/track/4GVlRh9StHm4h1JDbhYztY
6YVSGsnZ2NdQr2Sy0eoznf,Angreji Beat,"Yo Yo Honey Singh, Gippy Grewal",7uIbLdzzSEqnX0Pkrb56cR|5kvGYraWFlXs2Jbt1Kphn8,"The Biggest UK Bhangra Hits, Vol. 4",50,212626,,101,0.73,0.82,0.69,-6.9,True,hindi,https://open.spotify.com/track/6YVSGsnZ2NdQr2Sy0eoznf
2WvlXXXkx1Yu2WeSj1A877,Angreji Beat - 90s Mix,Nitin Mix,5vrVL2jZCTZQ5yCX5G6f6F,Angreji Beat,50,174776,,165,0.72,0.23,0.53,-11.4,True,hindi,https://open.spotify.com/track/2WvlXXXkx1Yu2WeSj1A877
5zX20AQ2tjQnkttagTIagE,Angry Mix,"Ravi Shankar, Sukhwinder Singh, Mika Singh",4uE9TgBW0AaPDHL1qYbtd0|19MVxKZZdPj2X0F8pi0OCT|5T2I75UlGBcWd5nVyfmL13,Sarkar 3 (Original Motion Picture Soundtrack),50,307092,,150,0.72,0.81,0.66,-12.3,True,hindi,https://open.spotify.com/track/5zX20AQ2tjQnkttagTIagE
6gHMWf34JR5aWXono5Ysgs,Animal Bgm Mashup,"Harshavardhan Rameshwar, Kedrock",5CTu6FKerxlvZrsLb6BYaU|7D2MUg2cnFbZnHzedomxwb,Animal Bgm Mashup,50,178067,,125,0.57,0.55,0.71,-8.4,True,hindi,https://open.spotify.com/track/6gHMWf34JR5aWXono5Ysgs
1Kt0zQj1jBEry8O8sJtF3r,Another Night - 132 BPM Workout Remix,Housecream,1yLH1CRBOIEeUGdsjy7xnI,Running & Workout for Seniors,50,371347,,100,0.4,0.46,0.46,-10.1,True,english,https://open.spotify.com/track/1Kt0zQj1jBEry8O8sJtF3r
7izg0Fi33nV3ISAwWAX4wd,Another Round,Lil Hydra,2LrOM5Nfq3bksvGvhUq8Ll,Another Round,50,130612,,155,0.44,0.48,0.39,-10.2,True,english,https://open.spotify.com/track/7izg0Fi33nV3ISAwWAX4wd
42wVthwdLhTQeJ4nmB9dIy,Apna Time Aayega,"DIVINE, Ranveer Singh, Dub Sharma",4Ai0pGz6GhQavjzaRhPTvz|0lMa3YTHqQnDDTBaxAV7LK|5pJnHE4GkcnLYMvnMOmGZr,Bollywood Workout Hits,50,140463,,119,0.81,0.77,0.32,-10.8,True,hindi,https://open.spotify.com/track/42wVthwdLhTQeJ4nmB9dIy
0J5jzXOg7dzbkOrIgZjo43,Arabic Kuthu - Halamithi Habibo,"Anirudh Ravichander, Jonita Gandhi",4zCH9qm4R2DADamUHMCa6O|00sCATpEvwH48ays7PlQFU,Beast (Original Motion Picture Soundtrack),50,279677,,111,0.67,0.52,0.48,-7.2,True,english,https://open.spotify.com/track/0J5jzXOg7dzbkOrIgZjo43
6yvxu91deFKt3X1QoV6qMv,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")","Anirudh Ravichander, Jonita Gandhi",4zCH9qm4R2DADamUHMCa6O|00sCATpEvwH48ays7PlQFU,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",50,279677,,134,0.89,0.47,0.36,-8.0,True,english,https://open.spotify.com/track/6yvxu91deFKt3X1QoV6qMv
1eZR6ng9BwSfnn9v6Yeia0,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")","Anirudh Ravichander, Jonita Gandhi, Sivakarthikeyan",4zCH9qm4R2DADamUHMCa6O|00sCATpEvwH48ays7PlQFU|0jwbpxdhhQamNo79fFPVcr,Anirudh x Sun Pictures - Powerhouse Hits,50,279677,,100,0.52,0.6,0.83,-13.7,True,english,https://open.spotify.com/track/1eZR6ng9BwSfnn9v6Yeia0
1bPZ1SBJlTggehO95Gk0Ji,Arcadia (Cardio Workout Remix),DJ Keen,4qvArXhnLauGZ5BBmJ3MJS,"Cardio Hitmix! All Hits 3 (140-155 BPM, 32-Count, Nonstop Fitness & Workout)",50,150013,,130,0.53,0.47,0.36,-12.4,True,english,https://open.spotify.com/track/1bPZ1SBJlTggehO95Gk0Ji
1YKPRycM3GzKbZUYDgLrmn,"Arjan Vailly (From ""ANIMAL"")","Manan Bhardwaj, Bhupinder Babbal",3pQ4aA7dkolyjUAMrVScgh|5bppkTlu7F930pWlNn1b1g,"Arjan Vailly (From ""ANIMAL"")",50,182170,,98,0.8,0.38,0.33,-6.9,True,hindi,https://open.spotify.com/track/1YKPRycM3GzKbZUYDgLrmn
73pS5Z6dsc25IFZYy0u8uG,Arjan Vailly Remix,"Manan Bhardwaj, Bhupinder Babbal, Dj Chetas, Lijo George",3pQ4aA7dkolyjUAMrVScgh|5bppkTlu7F930pWlNn1b1g|1jPeDHvfU5Knw8VyOP6TZN|4VS3XraXs2LRsowQnQ7VFh,Arjan Vailly Remix,50,187120,,143,0.74,0.72,0.4,-7.5,True,hindi,https://open.spotify.com/track/73pS5Z6dsc25IFZYy0u8uG
6aDjuufYwq5Yvh2NNngMhw,Around The World - Workout Remix 130 bpm,"Stephan F, Tony T, Alba Kras",5JFDqK3kLIAGJl8zPDHSAk|5PYz5PgVftmL9vQd9i7WSS|0DzGArgn9M9ZQa5dDQatbU,Cardio Workout Mix 2022: 130 bpm/32 count,50,192000,,133,0.7,0.35,0.35,-14.9,True,english,https://open.spotify.com/track/6aDjuufYwq5Yvh2NNngMhw
5HoN4nqKokMttNwOpXfwde,Asian Dance Workout,Workout Music,5njMahLKD1tLJ5bejvqseV,Workout Instrumental,50,228000,,177,0.88,0.54,0.52,-10.5,True,english,https://open.spotify.com/track/5HoN4nqKokMttNwOpXfwde
0vX2BiGY2VCvJFTvfdbYnO,Azadi,"Dub Sharma, DIVINE",5pJnHE4GkcnLYMvnMOmGZr|4Ai0pGz6GhQavjzaRhPTvz,Bollywood Workout Hits,50,155470,,154,0.66,0.54,0.32,-9.8,True,hindi,https://open.spotify.com/track/0vX2BiGY2VCvJFTvfdbYnO
6CnX497zBpwE8bwpxhQCq3,BALLINTEKK - (SLOWED),XvallariX,1CKiPOs0kFpTDkoAvItuFN,BALLINTEKK,50,101008,,106,0.62,0.76,0.55,-11.4,True,english,https://open.spotify.com/track/6CnX497zBpwE8bwpxhQCq3
